,NewsID,NewsCategory,BertEmotion,Text2Emotion,NewsSensitivity,NewsPolarity,NewsHandler,CommentUserName,Emotion,Location,CreatedAt
0,1551571723832594432,business,Fear,Sad,0.5333333333333333,Positive,AJEnglish,1543184382034432000,Joy,empty,2022-06-22T16:17:38.000Z
1,1551571723832594432,business,Fear,Sad,0.5333333333333333,Positive,AJEnglish,911728945,Love,empty,2022-06-22T16:17:38.000Z
2,1551571723832594432,business,Fear,Sad,0.5333333333333333,Positive,AJEnglish,1549995468154961920,Fear,empty,2022-06-22T16:17:38.000Z
3,1551567949894500359,business,Fear,Fear,0.0,Neutral,AJEnglish,1490561710410936322,Fear,empty,2021-09-30T17:26:46.000Z
4,1551567949894500359,business,Fear,Fear,0.0,Neutral,AJEnglish,1463727516,Fear,mexico,2021-09-30T17:26:46.000Z
5,1551560401120243712,politics,Fear,Fear,0.325,Negative,AJEnglish,2858233147,Fear,france,2021-09-30T19:57:33.000Z
6,1551560401120243712,politics,Fear,Fear,0.325,Negative,AJEnglish,1288947278242369537,Fear,empty,2021-09-30T19:57:33.000Z
7,1551560401120243712,politics,Fear,Fear,0.325,Negative,AJEnglish,27711990,Fear,lalitpur nepal,2021-09-30T19:57:33.000Z
8,1551556624128655361,business,Love,Fear,0.65,Positive,AJEnglish,1476625117778087956,Fear,empty,2020-06-16T15:02:41.000Z
9,1551556624128655361,business,Love,Fear,0.65,Positive,AJEnglish,771649518,Fear,somewhere nigeria,2020-06-16T15:02:41.000Z
10,1551556624128655361,business,Love,Fear,0.65,Positive,AJEnglish,765954175037472773,Love,empty,2020-06-16T15:02:41.000Z
11,1551556624128655361,business,Love,Fear,0.65,Positive,AJEnglish,109833003,Love,jupiter,2020-06-16T15:02:41.000Z
12,1551556624128655361,business,Love,Fear,0.65,Positive,AJEnglish,109833003,Love,jupiter,2020-06-16T15:02:41.000Z
13,1551556624128655361,business,Love,Fear,0.65,Positive,AJEnglish,597435561,Fear,england united kingdom,2020-06-16T15:02:41.000Z
14,1551556624128655361,business,Love,Fear,0.65,Positive,AJEnglish,1521426984110223360,Love,empty,2020-06-16T15:02:41.000Z
