,NewsID,Text,NewsCategory,BertEmotion,Text2Emotion,NewsSensitivity,NewsPolarity,NewsHandler,LoveCnt,FearCnt,JoyCnt,SadnessCnt,SurpriseCnt,AngerCnt
0,1551571723832594432,long queues lost luggage delayed or canceled flights this is reality at many europes airports this summer as holiday season reaches its peak journalist explains whats behind travel chaos,business,Fear,Sad,0.5333333333333333,Positive,AJEnglish,1,1,1,0,0,0
1,1551567949894500359,all my wage goes house rental crisis brews greece,business,Fear,Fear,0.0,Neutral,AJEnglish,0,2,0,0,0,0
2,1551565043849887746,international condemnation has grown wake myanmars first known executions decades,business,Fear,Fear,0.16666666666666666,Positive,AJEnglish,0,0,0,0,0,0
3,1551560401120243712,at least 34 people have died central kenya after their bus veered off bridge plunged into river valley report says,politics,Fear,Fear,0.325,Negative,AJEnglish,0,3,0,0,0,0
4,1551556624128655361,why is us inflation soaring will food fuel prices cool anytime soon heres what you need know,business,Love,Fear,0.65,Positive,AJEnglish,6,3,0,0,0,0
5,1551552861439508482,myanmars military govt has executed 4 anti coup activists marking first use capital punishment southeast asian country since 1980s,business,Sadness,Sad,0.14444444444444446,Positive,AJEnglish,0,0,0,0,0,0
6,1551546825731194881,james bond is dead he should stay dead by andrew mitrovica,entertainment,Fear,Fear,0.4,Negative,AJEnglish,8,1,1,0,0,0
7,1551542423213555713,at least 34 people have died central kenya after their bus veered off bridge plunged into river valley says local media,tech,Fear,Fear,0.21666666666666667,Negative,AJEnglish,4,4,0,0,0,0
8,1551538117026406400,ukrainian forces have destroyed 50 russian ammunition depots using himars rocket systems according countrys defence minister live updates,tech,Fear,Surprise,0.25,Positive,AJEnglish,0,0,0,0,0,0
9,1551533974429831169,unless it falls 85 dollar levels then we will be trouble indian rupee touched record lows but not everyone is worried,business,Joy,Fear,0.2,Negative,AJEnglish,0,1,0,1,0,0
10,1551529947717566465,one californias biggest wildfires year rages near yosemite park forcing thousands residents flee remote mountain communities pictures,entertainment,Joy,Sad,0.30000000000000004,Neutral,AJEnglish,0,0,0,0,0,0
11,1551528858234626048,rt snake bot no its not another marvel character but it could be hero people need meet latest tool that could one,tech,Love,Surprise,0.9,Positive,AJEnglish,0,0,0,0,0,0
12,1551526161208991745,stories you shouldnt miss today july 25,sport,Fear,Sad,0.0,Neutral,AJEnglish,1,1,0,0,0,0
13,1551518631632273409,why is tunisias new proposed constitution so controversial,politics,Sadness,Fear,0.7022727272727273,Positive,AJEnglish,0,0,0,0,0,0
14,1551518421266874370,even prime minister will be chosen by president regardless legislative elections tunisians new constitution concentrate power presidents hands says political analyst tarek kahlaoui live updates,politics,Love,Fear,0.35151515151515156,Positive,AJEnglish,0,0,0,0,0,0
15,1551513628016316418,eu approves smallpox vaccine use against monkeypox,politics,Love,Fear,0.0,Neutral,AJEnglish,0,0,0,0,0,0
16,1551504063283576833,rt traditional violin costs anywhere between 150 1500 make instrument more affordable children social pr,politics,Love,Fear,0.4388888888888889,Positive,AJEnglish,0,0,0,0,0,0
17,1551500503426760706,historic highly symbolic droupadi murmu takes oath as indias first tribal president,business,Love,Fear,0.2911111111111111,Positive,AJEnglish,5,2,2,1,0,0
18,1551495263960944642,make their voices heard tunisians must boycott this charade it is only way they can challenge saieds illegitimate tactics avoid participating dismantling democratic system by,tech,Sadness,Fear,1.0,Neutral,AJEnglish,0,0,0,0,0,0
19,1551490033240215553,rt nigerian tobi amusan wins 100m hurdles gold at world championships us,sport,Love,Fear,0.2,Positive,AJEnglish,0,0,0,0,0,0
20,1552007368107589634,rt today is national disability independence day us it commemorates signing americans with disabilitie,politics,Fear,Happy,0.0,Neutral,AJEnglish,0,0,0,0,0,0
21,1552007176209813511,everything that happened last week was abuse prices as inflation argentina skyrockets everyone is poorer,business,Fear,Fear,0.06666666666666667,Neutral,AJEnglish,0,2,0,0,0,0
22,1552005732115124224,time end russian blackmail over humanitarian aid idlib by,business,Sadness,Fear,0.0,Neutral,AJEnglish,0,1,1,0,0,0
23,1552000772522614785,russia plans big military drills next month countrys east,business,Love,Fear,0.06666666666666667,Negative,AJEnglish,0,0,0,0,0,0
24,1551991950764654598,rt at music festival poland one countrys most prominent judges speaks up against governments controversial r,entertainment,Sadness,Fear,0.8166666666666668,Positive,AJEnglish,0,0,0,0,0,0
25,1551991341491568642,shireen abu aklehs family meet us secretary state antony blinken washington renew their demands accountability killing al jazeera journalist,politics,Sadness,Surprise,0.0,Neutral,AJEnglish,1,0,1,0,0,0
26,1551986287296626689,rt us basketball star brittney griners drug trial focuses testimony that cannabis can have legitimate medicinal uses htt,entertainment,Love,Surprise,0.0,Neutral,AJEnglish,0,0,0,0,0,0
27,1551981670626205696,nigerian workers begin 3 day protest against university shutdowns,politics,Sadness,Fear,0.0,Neutral,AJEnglish,1,5,1,0,0,0
28,1551976137345191936,burkina fasos former president blaise compaore apologises family slain sankara,business,Fear,Surprise,0.0,Neutral,AJEnglish,4,10,0,3,0,0
29,1551973654405193729,south african govt has remained strong ally palestine providing both material public support its liberation cause read more,politics,Love,Fear,0.32499999999999996,Positive,AJEnglish,8,5,0,2,0,0
30,1551968086332416006,while russia continues its war ukraine their forces are still launching attacks syria four children one family were killed one russias latest air strikes idlib province read more,business,Fear,Surprise,0.4666666666666666,Positive,AJEnglish,3,5,0,2,0,1
31,1551964309961338881,british agencies secure funds develop standard monkeypox tools,tech,Love,Fear,0.19999999999999998,Positive,AJEnglish,2,1,0,1,0,0
32,1551962540179062784,rt stories you shouldnt miss today july 26,sport,Fear,Sad,0.0,Neutral,AJEnglish,0,0,0,0,0,0
